path,file_type,exists_missing,size_bytes,modified_time,duration_sec,stream_summary,referenced_by,status
Videos/Projects/using_ai_to_help_memory_retention_short/review_rounds/storyboard_round0.json,json,exists,46685,2026-06-14T03:30:37.017979+08:00,,,,evidence-unreferenced-by-json
Videos/Projects/using_ai_to_help_memory_retention_short/review_rounds/storyboard_round1.json,json,exists,58565,2026-06-14T03:34:44.661659+08:00,,,,evidence-unreferenced-by-json
Videos/Projects/using_ai_to_help_memory_retention_short/review_rounds/storyboard_round2.json,json,exists,58661,2026-06-14T03:38:31.250417+08:00,,,,evidence-unreferenced-by-json
Videos/Projects/using_ai_to_help_memory_retention_short/review_rounds/storyboard_round3.json,json,exists,62413,2026-06-14T03:15:53.685522+08:00,,,,evidence-unreferenced-by-json
Videos/Projects/using_ai_to_help_memory_retention_short/script.json,json,exists,4252,2026-06-14T08:24:19.008906+08:00,,,,expected
Videos/Projects/using_ai_to_help_memory_retention_short/state.json,json,exists,1758,2026-06-14T09:50:34.651423+08:00,,,,expected
Videos/Projects/using_ai_to_help_memory_retention_short/storyboard.json,json,exists,25549,2026-06-14T09:13:30.006419+08:00,,,,expected
Videos/Projects/using_ai_to_help_memory_retention_short/transcripts/0_research.md,md,exists,18294,2026-06-14T01:47:24.973334+08:00,,,,evidence-unreferenced-by-json
Videos/Projects/using_ai_to_help_memory_retention_short/transcripts/1_script_writer.md,md,exists,7580,2026-06-14T01:47:54.529837+08:00,,,,evidence-unreferenced-by-json
Videos/Projects/using_ai_to_help_memory_retention_short/transcripts/2_script_review_loop.md,md,exists,329,2026-06-14T01:52:27.291572+08:00,,,,evidence-unreferenced-by-json
Videos/Projects/using_ai_to_help_memory_retention_short/transcripts/3_storyboard_director.md,md,exists,6346,2026-06-14T03:02:27.903991+08:00,,,,evidence-unreferenced-by-json
Videos/Projects/using_ai_to_help_memory_retention_short/tts_log.json,missing,missing,,,,,,expected-missing
Videos/Projects/using_ai_to_help_memory_retention_short/using_ai_to_help_memory_retention_short_16x9.mp4,mp4,exists,46857965,2026-06-14T09:49:48.829693+08:00,146.600000,video=h264 1920x1080 fps=24/1 frames=2000 stream_dur=83.333333; audio=aac 96000Hz 2ch stream_dur=146.600000,state.json; assembly_log.json,referenced
Videos/Projects/using_ai_to_help_memory_retention_short/using_ai_to_help_memory_retention_short_9x16.mp4,mp4,exists,56076620,2026-06-14T09:50:24.554313+08:00,146.600000,video=h264 1080x1920 fps=24/1 frames=2000 stream_dur=83.333333; audio=aac 96000Hz 2ch stream_dur=146.600000,assembly_log.json,referenced
Videos/Projects/using_ai_to_help_memory_retention_short/using_ai_to_help_memory_retention_short_log.json,json,exists,1085,2026-06-14T09:50:24.602154+08:00,,,,expected
assets/media/001_hook/B001.mp4,mp4,exists,1953391,2026-06-13T20:56:00.765224+08:00,7.081995,video=h264 1280x720 fps=24/1 frames=169 stream_dur=7.041667; audio=aac 44100Hz 2ch stream_dur=7.081995,manifest.json; media_plan.json; media_qa_report.json,referenced;stale-pre-project;missing-generation-provenance
assets/media/001_hook/B002.mp4,mp4,exists,2633304,2026-06-13T14:38:25.518772+08:00,4.041667,video=h264 1280x720 fps=24/1 frames=97 stream_dur=4.041667,manifest.json; media_plan.json; media_qa_report.json,referenced;stale-pre-project;missing-generation-provenance
assets/media/002_proof/B003.mp4,mp4,exists,3246519,2026-06-14T09:07:48.686856+08:00,6.041667,video=h264 1280x720 fps=24/1 frames=145 stream_dur=6.041667,manifest.json; media_plan.json; media_qa_report.json,referenced;missing-generation-provenance
assets/media/002_proof/B004.mp4,mp4,exists,1823796,2026-06-14T09:17:49.577307+08:00,6.082993,video=h264 1280x720 fps=24/1 frames=145 stream_dur=6.041667; audio=aac 44100Hz 2ch stream_dur=6.082993,manifest.json; media_generation_log.json; media_plan.json; media_qa_report.json,referenced
assets/media/002_proof/B005.mp4,mp4,exists,4831789,2026-06-14T09:18:58.531507+08:00,6.041667,video=h264 1280x720 fps=24/1 frames=145 stream_dur=6.041667,manifest.json; media_generation_log.json; media_plan.json; media_qa_report.json,referenced
assets/media/003_flip/B006.mp4,mp4,exists,3470470,2026-06-14T09:22:54.027607+08:00,10.100000,video=h264 1280x720 fps=24/1 frames=241 stream_dur=10.041667; audio=aac 44100Hz 2ch stream_dur=10.100000,manifest.json; media_generation_log.json; media_plan.json; media_qa_report.json,referenced
assets/media/003_flip/B007.mp4,mp4,exists,2778813,2026-06-14T09:24:03.110810+08:00,6.041667,video=h264 1280x720 fps=24/1 frames=145 stream_dur=6.041667,manifest.json; media_generation_log.json; media_plan.json; media_qa_report.json,referenced
assets/media/003_flip/B008.mp4,mp4,exists,3756638,2026-06-14T09:28:16.490221+08:00,10.100000,video=h264 1280x720 fps=24/1 frames=241 stream_dur=10.041667; audio=aac 44100Hz 2ch stream_dur=10.100000,manifest.json; media_generation_log.json; media_plan.json; media_qa_report.json,referenced
assets/media/004_takeaway_cta/B009.mp4,mp4,exists,2764217,2026-06-14T09:32:30.826648+08:00,10.100000,video=h264 1280x720 fps=24/1 frames=241 stream_dur=10.041667; audio=aac 44100Hz 2ch stream_dur=10.100000,manifest.json; media_generation_log.json; media_plan.json; media_qa_report.json,referenced
assets/media/004_takeaway_cta/B010.mp4,mp4,exists,3944854,2026-06-14T09:41:58.092511+08:00,10.100000,video=h264 1280x720 fps=24/1 frames=241 stream_dur=10.041667; audio=aac 44100Hz 2ch stream_dur=10.100000,manifest.json; media_generation_log.json; media_plan.json; media_qa_report.json,referenced
